"id","iata","icao","name"
5492,YL,LLM,Yamal Airlines
5496,IY,IYE,Yemenia
5523,Z4,OOM,Zoom Airlines
5533,N,TYR,Tyrolean Airways
5559,"8Q",N,Maldivian Air Taxi
5584,XW,SXR,Sky Express
5651,VJ,RAC,Royal Air Cambodge
5813,"6T",N,Air Mandalay
5982,BX,ABL,Air Busan
6196,GH,GLP,Globus
6222,"9Y",KZK,Air Kazakhstan
6557,JD,JAS,Japan Air System
6855,DS,N,EasyJet (DS)
8359,"2I",N,Star Peru (2I)
8461,KW,N,Carnival Air Lines
8463,"4H",UBD,United Airways
8576,"5H",FFV,Fly540
8745,TO,TVF,Transavia France
8809,WP,MKU,Island Air (WP)
9082,B7,UIA,Uni Air
9135,YD,N,Gomelavia
9239,WZ,RWZ,Red Wings
9335,"11",N,TUIfly (X3)
9343,FU,FXX,Felix Airways
9344,K1,KOQ,Kostromskie avialinii
9373,XX,GFY,Greenfly
9531,"7J",N,Tajik Air
9541,TM,N,Air Mozambique
9577,--,ELK,ELK Airways
9620,GY,GBK,Gabon Airlines
9656,ML,MAV,Maldivo Airlines
9666,VH,VNP,Virgin Pacific
9764,Z2,N,Zest Air
9784,HK,N,Yangon Airways
9809,ZE,ESR,Eastar Jet
9810,LJ,JNA,Jin Air
9818,"3O",N,Air Arabia Maroc
9825,B1,BA1,Baltic Air lines
9828,YC,YCC,Ciel Canadien
9829,CN,YCP,Canadian National Airways
9833,FA,"4AA",Epic Holiday
9851,"3I",N,Air Comet Chile
10114,L8,LBL,Line Blue
10122,SZ,N,Salzburg arrows
10123,TQ,TXW,Texas Wings
10128,DH,DSY,Dennis Sky
10224,ZZ,N,Zz
10226,A1,A1F,Atifly
10372,"99",N,Ciao Air
10650,"5P",N,Pal airlines
10673,C1,CA1,CanXpress
10674,V5,N,Danube Wings (V5)
10675,SH,SHA,Sharp Airlines
10683,C2,CAP,CanXplorer
10715,QA,N,Click (Mexicana)
10735,W1,WE1,World Experience Airline
10737,J4,N,ALAK
10739,"3E",N,Air Choice One
10741,KN,N,China United
10748,ZQ,LOC,Locair
10758,"4Q",N,Safi Airlines
10765,K5,SQH,SeaPort Airlines
10776,S6,N,Salmon Air
10798,"1",N,Bobb Air Freight
10800,V9,HCW,Star1 Airlines
10845,"6D",N,Pelita
10912,J5,N,Alaska Seaplane Service
10955,I6,MXI,MexicanaLink
10960,IP,ISX,Island Spirit
10969,T0,N,TACA Peru
11731,"7Q",N,Pan Am World Airways Dominicana
11732,PF,N,Primera Air
11741,"3S",N,Air Antilles Express
11755,P7,REP,Regional Paraguaya
11761,V6,N,VIP Ecuador
11763,P9,N,Peruvian Airlines
11767,ЯП,N,Polar Airlines
11794,OC,N,Catovair
11804,"7Z",N,Halcyonair
11805,"4P",N,Business Aviation
11806,E9,N,Compagnie Africaine d\'Aviation
11808,K8,N,Zambia Skyways
11811,UJ,LMU,AlMasria Universal Airlines
11814,"6Y",N,SmartLynx Airlines
11816,K7,KBR,KoralBlue Airlines
11823,E4,GIE,Elysian Airlines
11834,HT,IMP,Hellenic Imperial Airways
11836,WD,AAN,Amsterdam Airlines
11838,Q9,NAK,Arik Niger
11839,DA,N,Dana Air
11840,"8F",STP,STP Airways
11843,"7Y",N,Med Airways
11850,UQ,SJU,Skyjet Airlines
11855,G6,N,Air Volga
11857,RL,RFJ,Royal Falcon
11873,"4L",MJX,Euroline
11947,ZF,N,Athens Airways
11948,VQ,VKH,Viking Hellas
11963,DZ,N,Starline.kz
12960,L7,N,Lugansk Airlines
12961,"6P",N,Gryphon Airlines
12962,GP,GDR,Gadair European Airlines
12965,SM,MNP,Spirit of Manila Airlines
